artist,국적,활동유형,활동장르,데뷔(곡),멤버
HYNN (박혜원),대한민국,"여성, 솔로","발라드, 국내드라마, 록/메탈",2018.12.28,
라붐 (LABOUM),대한민국,"여성, 그룹","댄스, 발라드, 국내드라마",2014.08.28,"솔빈 (LABOUM) , 정소연 (Jung Soyeon) , 진예 (LABOUM) , 해인 (LABOUM)"
BE'O (비오),대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 댄스",2020.09.05,
Yyeon,대한민국,"남성, 솔로","인디음악, R&B/Soul, 랩/힙합",2022.12.23,
영탁,대한민국,"남성, 솔로","성인가요/트로트, 발라드, 국내드라마",2007.03.05,
적재,대한민국,"남성, 솔로","록/메탈, 발라드, 국내드라마",2014.11.10,
김대명,대한민국,"남성, 솔로","국내드라마, 발라드, 록/메탈",2018.02.13,
Seori,대한민국,"여성, 솔로","R&B/Soul, 댄스, 국내드라마",2020.05.12,
윤도 (YoonDo),대한민국,"남성, 솔로","발라드, R&B/Soul, 록/메탈",2019.11.13,
BewhY (비와이),대한민국,"남성, 솔로","랩/힙합, 댄스, 발라드",2014.06.23,
수퍼비 (SUPERBEE),대한민국,"남성, 솔로","랩/힙합, 인디음악, 국내드라마",2015.10.26,
진,대한민국,"남성, 솔로","록/메탈, 발라드, 댄스",2022.10.28,
ITZY (있지),대한민국,"여성, 그룹","댄스, 랩/힙합, POP",2019.02.12,"예지 (ITZY) , 리아 (ITZY) , 류진 (ITZY) , 채령 (ITZY) , 유나 (ITZY)"
나얼,대한민국,"남성, 솔로","R&B/Soul, 발라드, CCM",2005.01.08,
테이,대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2004.01.05,
유회승 (엔플라잉),대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2017.09.14,
헤이즈 (Heize),대한민국,"여성, 솔로","R&B/Soul, 발라드, 국내드라마",2014.01.17,
조현아 (어반자카파),대한민국,"여성, 솔로","발라드, 국내드라마, 랩/힙합",2009.02.27,
마마무 (Mamamoo),대한민국,"여성, 그룹","댄스, 발라드, R&B/Soul",2014.06.19,"솔라 (마마무) , 문별 (마마무) , 휘인 (Whee In) , 화사 (HWASA)"
볼빨간사춘기,대한민국,"여성, 솔로","인디음악, 포크/블루스, 록/메탈",2016.04.22,안지영
양다일,대한민국,"남성, 솔로","발라드, R&B/Soul, 국내드라마",2015.10.01,
주주 시크릿,대한민국,"여성, 그룹","댄스, 발라드",2023.03.25,
던말릭 (DON MALIK),대한민국,"남성, 솔로","랩/힙합, 인디음악",2014.11.11,
Zior Park,대한민국,"남성, 솔로","록/메탈, 랩/힙합, 국내드라마",2018.04.03,
이하이,대한민국,"여성, 솔로","R&B/Soul, 발라드, 댄스",2012.10.29,
백아,대한민국,"여성, 솔로","인디음악, 포크/블루스, 발라드",2018.04.03,
