아티스트명,국적,활동유형,활동년대,활동장르,데뷔,멤버,생일
PLAVE,대한민국,"남성, 그룹",2020,"록/메탈, 발라드, R&B/Soul",2023.03.12,"노아, 밤비, 예준, 은호, 하민",
임영웅,대한민국,"남성, 솔로","2010, 2020","성인가요/트로트, 발라드, 댄스",2016.08.08,,
박재정,대한민국,"남성, 솔로","2010, 2020","발라드, 국내드라마, 록/메탈",2013.11.20,,
임재현,대한민국,"남성, 솔로","2010, 2020","발라드, 인디음악, 국내드라마",2018.09.25,,
세븐틴 (SEVENTEEN),대한민국,"남성, 그룹","2010, 2020","댄스, 발라드, 랩/힙합",2015.05.26,"S.COUPS, 정한, 조슈아, 준, 호시, 원우, 도겸, 민규, 디에잇, 승관, Vernon, 디노, WOOZI",
경서예지,대한민국,"여성, 그룹","2010, 2020","발라드, 록/메탈, 포크/블루스",2020.04.12,"경서 (경서예지), 전예지 (경서예지)",
폴킴,대한민국,"남성, 솔로","2010, 2020","발라드, R&B/Soul, 국내드라마",2014.01.21,,
IVE (아이브),대한민국,"여성, 그룹",2020,"댄스, 발라드, R&B/Soul",2021.12.01,"안유진 (IVE), 가을 (IVE), 레이 (IVE), 장원영 (IVE), 리즈 (IVE), 이서 (IVE)",
Crush,대한민국,"남성, 솔로","2010, 2020","R&B/Soul, 발라드, 댄스",2012.12.07,,1992.05.03
지코 (ZICO),대한민국,"남성, 솔로","2010, 2020","랩/힙합, 발라드, 국내드라마",2014.11.07,,1992.09.14
범진,대한민국,"남성, 솔로","2010, 2020","발라드, 인디음악, 국내드라마",2019.05.25,,1997
NMIXX,대한민국,"여성, 그룹",2020,"댄스, 애니메이션/웹툰, 월드뮤직",2022.02.22,"릴리 (NMIXX), 해원 (NMIXX), 설윤 (NMIXX), 배이 (NMIXX), 지우 (NMIXX), 규진 (NMIXX)",
WOODZ,대한민국,"남성, 솔로","2010, 2020","댄스, R&B/Soul, 록/메탈",2016.07.29,,
정국,대한민국,"남성, 솔로","2010, 2020","댄스, POP, 발라드",2013.06.12,,1997.09.01
김민석 (멜로망스),대한민국,"남성, 솔로","2010, 2020","발라드, 국내드라마, 인디음악",2018.12.18,,
멜로망스,대한민국,"남성, 그룹","2010, 2020","발라드, 국내드라마, 인디음악",2015.03.10,"정동환 (멜로망스), 김민석 (멜로망스)",
태연 (TAEYEON),대한민국,"여성, 솔로","2000, 2010, 2020","발라드, R&B/Soul, 댄스",2015.10.07,,1989.03.09
RIIZE,대한민국,"남성, 그룹",2020,"댄스, R&B/Soul, 일렉트로니카",2023.09.04,"쇼타로 (SHOTARO), 은석 (EUNSEOK), 성찬 (SUNGCHAN), 원빈 (WONBIN), 소희 (SOHEE), 앤톤 (ANTON)",
윤하 (YOUNHA),대한민국,"여성, 솔로","2000, 2010, 2020","발라드, 록/메탈, 국내드라마",2004.09.01,,1988.04.29
부석순 (SEVENTEEN),대한민국,"남성, 그룹","2010, 2020","댄스, 국내드라마, 발라드",2018.03.21,"도겸, 승관, 호시",
우디 (Woody),대한민국,"남성, 솔로","2010, 2020","발라드, R&B/Soul, 국내드라마",2019.01.23,,1992.02.22
황인욱,대한민국,"남성, 솔로","2010, 2020","발라드, 국내드라마, R&B/Soul",2017.07.28,,
허각,대한민국,"남성, 솔로","2010, 2020","발라드, 국내드라마, 댄스",2010.11.04,,1985.01.05
방탄소년단,대한민국,"남성, 그룹","2010, 2020","랩/힙합, 댄스, POP",2013.06.13,"RM, SUGA, 진, j-hope, 지민, V, 정국",
황가람,대한민국,"남성, 솔로","2010, 2020","발라드, 국내드라마, 애니메이션/웹툰",2021.01.16,,
LE SSERAFIM (르세라핌),대한민국,"여성, 그룹",2020,"댄스, 랩/힙합, R&B/Soul",2022.05.02,"김채원, 사쿠라, 허윤진, 카즈하, 홍은채",
MEOVV (미야오),대한민국,"여성, 그룹",2020,"랩/힙합, R&B/Soul, 댄스",2024.09.06,"수인 (SOOIN), 가원 (GAWON), 안나 (ANNA), 나린 (NARIN), 엘라 (ELLA)",
YENA (최예나),대한민국,"여성, 솔로","2010, 2020","댄스, 록/메탈, R&B/Soul",2022.01.17,,1999.09.29
비비 (BIBI),대한민국,"여성, 솔로","2010, 2020","R&B/Soul, 발라드, 국내드라마",2019.05.15,,
카더가든,대한민국,"남성, 솔로","2010, 2020","발라드, 록/메탈, 국내드라마",2013.09.24,,
최유리,대한민국,"여성, 솔로","2010, 2020","발라드, 인디음악, 포크/블루스",2020.02.24,,1998.11.24
비투비,대한민국,"남성, 그룹","2010, 2020","댄스, 발라드, 국내드라마",2012.03.21,"서은광 (비투비), 이민혁 (허타), 이창섭, 임현식 (비투비), 프니엘 (비투비), 육성재",
BABYMONSTER,대한민국,"여성, 그룹",2020,"댄스, R&B/Soul, 랩/힙합",2024.04.01,"루카(RUKA), 파리타(PHARITA), 아사(ASA), 아현(AHYEON), 라미(RAMI), 로라(RORA), 치키타(CHIQUITA)",
재쓰비 (JAESSBEE),대한민국,"혼성, 그룹",2020,"댄스, 국내드라마",2024.11.11,,
EXO,대한민국,"남성, 그룹","2010, 2020","댄스, 발라드, R&B/Soul",2012.04.08,"카이 (KAI), 첸 (CHEN), 세훈 (SEHUN), 레이 (LAY), 시우민 (XIUMIN), 백현 (BAEKHYUN), 도경수(D.O.), 수호 (SUHO), 찬열 (CHANYEOL)",
SG 워너비,대한민국,"남성, 그룹","2000, 2010, 2020","발라드, R&B/Soul, 국내드라마",2004.01.20,"김진호 (SG워너비), 김용준, 이석훈",
순순희,대한민국,"남성, 그룹","2010, 2020","발라드, 인디음악, 국내드라마",2018.04.17,"순순희(기태), 미러볼 (김부성), 순순희(지환)",
정승환,대한민국,"남성, 솔로","2010, 2020","발라드, 국내드라마, 댄스",2016.11.29,,
박효신,대한민국,"남성, 솔로","1990, 2000, 2010, 2020","발라드, R&B/Soul, 댄스",1999.11.04,,1981.12.01
TWICE (트와이스),대한민국,"여성, 그룹","2010, 2020","댄스, 발라드, R&B/Soul",2015.10.20,"나연 (TWICE), 정연, 모모, 사나, 지효 (TWICE), 미나, 다현, 채영 (TWICE), 쯔위 (TWICE)",
BOYNEXTDOOR,대한민국,"남성, 그룹",2020,"댄스, 랩/힙합, R&B/Soul",2023.05.30,"성호, 리우, 명재현, 태산, 이한, 운학",
BIGBANG (빅뱅),대한민국,"남성, 그룹","2000, 2010, 2020","랩/힙합, 댄스, 발라드",2006.08.19,"태양, G-DRAGON, 대성, T.O.P",
마크툽 (MAKTUB),대한민국,"남성, 솔로","2010, 2020","R&B/Soul, 인디음악, 발라드",2011.09.21,,
여자친구 (GFRIEND),대한민국,"여성, 그룹","2010, 2020","댄스, 발라드, 국내드라마",2015.01.16,"소원 (여자친구), 예린 (YERIN), 은하 (EUNHA), 유주 (YUJU), 신비 (SINB), 엄지 (UMJI)",
김보경 (NEON),대한민국,"여성, 솔로","2010, 2020","발라드, 록/메탈, 국내드라마",2010.11.16,,1990.05.16
조째즈,대한민국,"남성, 솔로",2020,"발라드, 국내드라마, 성인가요/트로트",2025.01.07,,
지수 (JISOO),대한민국,"여성, 솔로","2010, 2020","댄스, POP",2023.03.31,,
KiiiKiii (키키),대한민국,"여성, 그룹",2020,"댄스, 랩/힙합, R&B/Soul",2024.03.24,"지유 (KiiiKiii), 이솔 (KiiiKiii), 수이 (KiiiKiii), 하음 (KiiiKiii), 키야 (KiiiKiii)",
Hearts2Hearts (하츠투하츠),대한민국,"여성, 그룹",2020,"일렉트로니카, 댄스, R&B/Soul",2025.02.24,"지우 (JIWOO), 카르멘 (CARMEN), 유하 (YUHA), 스텔라 (STELLA), 주은 (JUUN), 에이나 (A-NA), 이안 (IAN), 예온 (YE-ON)",
10CM,대한민국,"남성, 솔로","2010, 2020","포크/블루스, 인디음악, 발라드",2010.04.22,권정열,1983.03.01
j-hope,대한민국,"남성, 솔로","2010, 2020","랩/힙합, R&B/Soul, 댄스",2022.07.15,,1994.02.18
오반(OVAN),대한민국,"남성, 솔로","2010, 2020","랩/힙합, 인디음악, R&B/Soul",2017.03.02,,
이예은,대한민국,"여성, 솔로",2020,발라드,2022.08.13,,
송필근,대한민국,"남성, 솔로","2010, 2020","발라드, 포크/블루스, 록/메탈",2014.11.28,,1991.11.15
HIGH4 (하이포),대한민국,"남성, 그룹",2010,"댄스, 발라드, R&B/Soul",2014.04.08,"김윤오, 백명한, 임영준 (하이포), 알렉스 (하이포)",
버스커 버스커,대한민국,"남성, 그룹",2010,"록/메탈, 발라드, 댄스",2012.03.29,"장범준, 브래드, 형태",
RESCENE (리센느),대한민국,"여성, 그룹",2020,"댄스, R&B/Soul, 국내드라마",2024.03.26,"원이 (WONI), 리브 (LIV), 미나미 (MINAMI), 메이 (MAY), 제나 (ZENA)",
로꼬,대한민국,"남성, 솔로","2010, 2020","랩/힙합, 국내드라마, 댄스",2012.09.04,,1989.12.25
NCT WISH,대한민국,"남성, 그룹",2020,"댄스, 애니메이션/웹툰, 키즈",2024.02.21,"시온 (SION), 유우시 (YUSHI), 리쿠 (RIKU), 재희 (JAEHEE), 료 (RYO), 사쿠야 (SAKUYA)",
마크 (MARK),캐나다,"남성, 솔로","2010, 2020","랩/힙합, R&B/Soul, 발라드",2017.04.01,,1999.08.02
현서 (HYUN SEO),대한민국,"남성, 솔로",2020,"R&B/Soul, 인디음악, 랩/힙합",2021.10.28,,
투모로우바이투게더,대한민국,"남성, 그룹","2010, 2020","댄스, 록/메탈, 국내드라마",2019.03.04,"수빈, 연준, 범규, 태현, 휴닝카이",
도경수(D.O.),대한민국,"남성, 솔로","2010, 2020","발라드, 포크/블루스, 국내드라마",2021.07.26,,1993.01.12
마틴스미스,대한민국,"남성, 그룹","2010, 2020","발라드, 국내드라마, 인디음악",2016.05.13,"Neat , eldon",
엔플라잉 (N.Flying),대한민국,"남성, 그룹","2010, 2020","록/메탈, 국내드라마, 댄스",2015.05.20,"이승협 (J.DON), 차훈 (엔플라잉), 김재현, 유회승 (엔플라잉), 서동성",
데이먼스 이어 (Damons year),대한민국,"남성, 솔로","2010, 2020","인디음악, 록/메탈, 발라드",2017.05.25,,
ALLDAY PROJECT,대한민국,"혼성, 그룹",2020,"랩/힙합, 댄스",2025.06.23,"ANNIE, TARZZAN, BAILEY, WOOCHAN, YOUNGSEO",
FIFTY FIFTY,대한민국,"여성, 그룹",2020,"댄스, POP, 키즈",2022.11.18,"키나, 문샤넬, 예원, 하나, 아테나",
BLACKPINK,대한민국,"여성, 그룹","2010, 2020","댄스, 랩/힙합, POP",2016.08.08,"지수 (JISOO), 제니 (JENNIE), 로제 (ROSÉ), 리사 (LISA)",
H1-KEY (하이키),대한민국,"여성, 그룹",2020,"댄스, 국내드라마, R&B/Soul",2022.01.05,"서이 (하이키), 리이나 (하이키), 옐 (하이키), 휘서 (하이키)",
NCT DREAM,대한민국,"남성, 그룹","2010, 2020","댄스, R&B/Soul, 랩/힙합",2016.08.25,"천러 (CHENLE), 런쥔 (RENJUN), 재민 (JAEMIN), 지성 (JISUNG), 제노 (JENO), 해찬 (HAECHAN), 마크 (MARK)",
거북이,대한민국,"혼성, 그룹","2000, 2010","댄스, 랩/힙합, 발라드",2001.12.20,"금비, 이강,지이",
먼데이 키즈,대한민국,"남성, 솔로","2000, 2010, 2020","발라드, 국내드라마, R&B/Soul",2005.11.03,이진성 (먼데이 키즈),1985.02.27
이찬혁,대한민국,"남성, 솔로","2010, 2020","댄스, 록/메탈, 발라드",2022.10.17,,1996.09.12
박다혜,대한민국,"여성, 솔로","2010, 2020","발라드, 애니메이션/웹툰, R&B/Soul",2015.06.16,,
임창정,대한민국,"남성, 솔로","1990, 2000, 2010, 2020","발라드, 댄스, 국내드라마",1995.04.01,,1973.11.30
DK(디셈버),대한민국,"남성, 솔로","2000, 2010, 2020","발라드, 국내드라마, 록/메탈",2009.10.27,,1986.04.13
CORTIS (코르티스),대한민국,"남성, 그룹",2020,"댄스, 랩/힙합, R&B/Soul",2025.08.18,"마틴, 제임스, 주훈, 성현, 건호",
다영 (DAYOUNG),대한민국,"여성, 솔로","2010, 2020","댄스, 국내드라마, 발라드",2025.09.09,,1999.05.14
브라운 아이드 소울,대한민국,"남성, 그룹","2000, 2010","R&B/Soul, 발라드, 국내드라마",2003.09.17,"나얼, 정엽, 영준",
다비치,대한민국,"여성, 그룹","2000, 2010, 2020","발라드, 국내드라마, 댄스",2008.02.22,"강민경 (다비치), 이해리 (다비치)",
화사 (HWASA),대한민국,"여성, 솔로","2010, 2020","댄스, R&B/Soul, 발라드",2019.02.13,,1995.07.23
한로로,대한민국,"여성, 솔로",2020,"록/메탈, 인디음악, 국내드라마",2022.03.14,,
BIG Naughty (서동현),대한민국,"남성, 솔로","2010, 2020","랩/힙합, R&B/Soul, 국내드라마",2019.11.21,,
AOA,대한민국,"여성, 그룹",2010,"댄스, 발라드, 일렉트로니카",2012.07.30,"설현 (AOA), 혜정 (AOA), 도화 (AOA)",
나윤권,대한민국,"남성, 솔로","2000, 2010, 2020","발라드, 국내드라마, 댄스",2004.09.13,,1984.05.14
이보람 (씨야),대한민국,"여성, 솔로","2000, 2010, 2020","발라드, 국내드라마, R&B/Soul",2017.01.17,,1987.02.17
