year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,8,Permission to Dance,방탄소년단,Butter / Permission to Dance,232541
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,9,Weekend,태연 (TAEYEON),Weekend,207699
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,10,Butter,방탄소년단,Butter,301147
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,11,헤픈 우연,헤이즈 (Heize),HAPPEN,212389
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,12,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,99239
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,13,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌),79617
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,14,Dynamite,방탄소년단,Dynamite (DayTime Version),466623
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,15,고백,멜로망스,세 번째 '고백',126190
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,16,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album,125291
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,17,DUMB DUMB,전소미,DUMB DUMB,106217
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,18,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,237239
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,19,라일락,아이유,IU 5th Album 'LILAC',267734
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,20,너를 생각해,주시크 (Joosiq),너를 생각해,171903
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,21,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),63430
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,22,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,135670
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,23,Celebrity,아이유,IU 5th Album 'LILAC',349279
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,24,롤린 (Rollin'),브레이브걸스,Rollin',301506
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,25,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),95503
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,26,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,170936
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,27,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,185532
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,28,ASAP,STAYC(스테이씨),STAYDOM,158510
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,29,색안경 (STEREOTYPE),STAYC(스테이씨),STEREOTYPE,85822
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,30,LOCO,ITZY (있지),CRAZY IN LOVE,56902
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,31,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,140247
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,32,내 손을 잡아,아이유,최고의 사랑 OST Part.4,221716
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,33,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light,118973
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,34,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,182690
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,35,하루만 더,빅마마,하루만 더,63601
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,36,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495320
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,37,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,67766
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,38,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,121189
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,39,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),244780
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,40,Lovesick Girls,BLACKPINK,THE ALBUM,249606
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,41,멜로디,ASH ISLAND,멜로디,160417
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,42,사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),이해리 (다비치),사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),20619
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,43,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438240
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,44,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),261046
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,45,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,416020
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,46,Blueming,아이유,Love poem,369737
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,47,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,294524
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,48,잠이 오질 않네요,장범준,잠이 오질 않네요,174989
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,49,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,145782
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,50,아로하,조정석,슬기로운 의사생활 OST Part 3,265972
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,51,봄날,방탄소년단,YOU NEVER WALK ALONE,509785
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,52,Timeless,SG 워너비,Sg Wanna Be+,137372
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,53,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,96822
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,54,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,106592
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,55,운전만해 (We Ride),브레이브걸스,We Ride,137643
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,56,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,397029
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,57,오래된 노래,스탠딩 에그,오래된 노래,291350
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,58,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320118
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,59,Alcohol-Free,TWICE (트와이스),Taste of Love,98012
